x,y,L
0.0,1.0,0.25
0.00510204081632653,0.980216576426489,0.25
0.01020408163265306,0.9604071220324865,0.25
0.015306122448979591,0.9405716368179925,0.25
0.02040816326530612,0.9207101207830071,0.25
0.02551020408163265,0.9008225739275302,0.25
0.030612244897959183,0.8809089962515618,0.25
0.03571428571428571,0.860969387755102,0.25
0.04081632653061224,0.8410037484381507,0.25
0.04591836734693877,0.821012078300708,0.25
0.0510204081632653,0.8009943773427739,0.25
0.05612244897959183,0.7809506455643482,0.25
0.061224489795918366,0.7608808829654311,0.25
0.06632653061224489,0.7407850895460225,0.25
0.07142857142857142,0.7206632653061225,0.25
0.07653061224489795,0.7005154102457309,0.25
0.08163265306122448,0.6803415243648481,0.25
0.08673469387755102,0.6601416076634736,0.25
0.09183673469387754,0.6399156601416076,0.25
0.09693877551020408,0.6196636817992502,0.25
0.1020408163265306,0.5993856726364015,0.25
0.10714285714285714,0.5790816326530612,0.25
0.11224489795918366,0.5587515618492296,0.25
0.1173469387755102,0.5383954602249064,0.25
0.12244897959183673,0.5180133277800917,0.25
0.12755102040816327,0.4976051645147854,0.25
0.13265306122448978,0.47717097042898804,0.25
0.1377551020408163,0.45671074552269897,0.25
0.14285714285714285,0.4362244897959183,0.25
0.14795918367346939,0.41571220324864644,0.25
0.1530612244897959,0.3951738858808831,0.25
0.15816326530612243,0.37460953769262817,0.25
0.16326530612244897,0.3540191586838818,0.25
0.1683673469387755,0.33340274885464394,0.25
0.17346938775510204,0.3127603082049146,0.25
0.17857142857142855,0.29209183673469397,0.25
0.18367346938775508,0.27139733444398173,0.25
0.18877551020408162,0.25067680133277803,0.25
0.19387755102040816,0.22993023740108287,0.25
0.19897959183673466,0.20915764264889636,0.25
0.2040816326530612,0.18835901707621838,0.25
0.20918367346938774,0.16753436068304872,0.25
0.21428571428571427,0.14668367346938782,0.25
0.2193877551020408,0.12580695543523535,0.25
0.22448979591836732,0.10490420658059163,0.25
0.22959183673469385,0.08397542690545612,0.25
0.2346938775510204,0.06302061640982937,0.25
0.23979591836734693,0.04203977509371104,0.25
0.24489795918367346,0.02103290295710125,0.25
0.25,0.0,0.25
0.0,1.0,0.5
0.01020408163265306,0.9820907955018742,0.5
0.02040816326530612,0.9640774677217826,0.5
0.030612244897959183,0.9459600166597251,0.5
0.04081632653061224,0.9277384423157018,0.5
0.0510204081632653,0.9094127446897127,0.5
0.061224489795918366,0.8909829237817576,0.5
0.07142857142857142,0.8724489795918368,0.5
0.08163265306122448,0.85381091211995,0.5
0.09183673469387754,0.8350687213660974,0.5
0.1020408163265306,0.8162224073302791,0.5
0.11224489795918366,0.7972719700124948,0.5
0.12244897959183673,0.7782174094127448,0.5
0.13265306122448978,0.7590587255310288,0.5
0.14285714285714285,0.739795918367347,0.5
0.1530612244897959,0.7204289879216994,0.5
0.16326530612244897,0.7009579341940858,0.5
0.17346938775510204,0.6813827571845065,0.5
0.18367346938775508,0.6617034568929613,0.5
0.19387755102040816,0.6419200333194502,0.5
0.2040816326530612,0.6220324864639735,0.5
0.21428571428571427,0.6020408163265306,0.5
0.22448979591836732,0.5819450229071221,0.5
0.2346938775510204,0.5617451062057477,0.5
0.24489795918367346,0.5414410662224074,0.5
0.25510204081632654,0.5210329029571013,0.5
0.26530612244897955,0.5005206164098293,0.5
0.2755102040816326,0.4799042065805915,0.5
0.2857142857142857,0.4591836734693878,0.5
0.29591836734693877,0.43835901707621827,0.5
0.3061224489795918,0.417430237401083,0.5
0.31632653061224486,0.39639733444398173,0.5
0.32653061224489793,0.3752603082049146,0.5
0.336734693877551,0.3540191586838818,0.5
0.3469387755102041,0.332673885880883,0.5
0.3571428571428571,0.31122448979591844,0.5
0.36734693877551017,0.28967097042898804,0.5
0.37755102040816324,0.2680133277800917,0.5
0.3877551020408163,0.24625156184922958,0.5
0.39795918367346933,0.22438567263640163,0.5
0.4081632653061224,0.20241566014160772,0.5
0.4183673469387755,0.18034152436484807,0.5
0.42857142857142855,0.15816326530612257,0.5
0.4387755102040816,0.1358808829654311,0.5
0.44897959183673464,0.1134943773427739,0.5
0.4591836734693877,0.09100374843815084,0.5
0.4693877551020408,0.06840899625156194,0.5
0.47959183673469385,0.04571012078300707,0.5
0.4897959183673469,0.02290712203248646,0.5
0.5,0.0,0.5
0.0,1.0,0.75
0.015306122448979591,0.9852144939608496,0.75
0.030612244897959183,0.9701947105372761,0.75
0.04591836734693877,0.9549406497292795,0.75
0.061224489795918366,0.9394523115368596,0.75
0.07653061224489796,0.9237296959600166,0.75
0.09183673469387754,0.9077728029987505,0.75
0.10714285714285714,0.8915816326530612,0.75
0.12244897959183673,0.8751561849229488,0.75
0.1377551020408163,0.8584964598084132,0.75
0.15306122448979592,0.8416024573094544,0.75
0.1683673469387755,0.8244741774260724,0.75
0.18367346938775508,0.8071116201582674,0.75
0.1989795918367347,0.7895147855060392,0.75
0.21428571428571427,0.7716836734693877,0.75
0.22959183673469388,0.7536182840483132,0.75
0.24489795918367346,0.7353186172428156,0.75
0.2602040816326531,0.7167846730528946,0.75
0.2755102040816326,0.6980164514785507,0.75
0.29081632653061223,0.6790139525197835,0.75
0.30612244897959184,0.6597771761765931,0.75
0.3214285714285714,0.6403061224489797,0.75
0.336734693877551,0.620600791336943,0.75
0.3520408163265306,0.6006611828404832,0.75
0.36734693877551017,0.5804872969596002,0.75
0.3826530612244898,0.5600791336942941,0.75
0.3979591836734694,0.5394366930445648,0.75
0.413265306122449,0.5185599750104123,0.75
0.42857142857142855,0.49744897959183687,0.75
0.44387755102040816,0.47610370678883807,0.75
0.45918367346938777,0.4545241566014161,0.75
0.4744897959183673,0.4327103290295711,0.75
0.4897959183673469,0.4106622240733028,0.75
0.5051020408163265,0.3883798417326114,0.75
0.5204081632653061,0.3658631820074968,0.75
0.5357142857142857,0.34311224489795933,0.75
0.5510204081632653,0.3201270304039985,0.75
0.5663265306122449,0.29690753852561436,0.75
0.5816326530612245,0.2734537692628072,0.75
0.596938775510204,0.24976572261557706,0.75
0.6122448979591837,0.22584339858392344,0.75
0.6275510204081632,0.20168679716784688,0.75
0.6428571428571428,0.17729591836734704,0.75
0.6581632653061225,0.15267076218242404,0.75
0.673469387755102,0.12781132861307798,0.75
0.6887755102040816,0.10271761765930876,0.75
